NSX, Description, New Price, Discount percent, Old Price, 
Nerman, Combo Lịch Lãm Nerman (Sữa Tắm Gội 3in1 350ml & Dung Dịch Vệ Sinh Nam Sanda 100ml), 298.000 ₫, 3%, 308.000 ₫, 
Nivea, Lăn Khử Mùi Nivea Serum Sáng Mịn Hương Hoa Hồng 40ml, 98.000 ₫, 9%, 108.000 ₫, 
Eucerin, Sữa Dưỡng Thể Eucerin Cho Da Nhạy Cảm 250ml, 219.000 ₫, 5%, 231.000 ₫, 
Bioré, Gel Chống Nắng Bioré Màng Nước Dưỡng Ẩm Da 90ml, 183.000 ₫, 27%, 249.000 ₫, 
Lifebuoy, Sữa Tắm Lifebuoy Detox Thảo Dược & Hoa Sen 800g, 185.000 ₫, 5%, 195.000 ₫, 
Cetaphil, Sữa Tắm Cetaphil Dưỡng Ẩm Dịu Lành Cho Viêm Da Cơ Địa 295ml, 408.000 ₫, 15%, 480.000 ₫, 
Secret, Gel Khử Mùi Secret Giảm Tiết Mồ Hôi Hương Lavender 73g, 86.000 ₫, 31%, 125.000 ₫, 
Double Rich, Sữa Tắm Double Rich Dreamy Romance Hương Hoa Iris 550g, 98.000 ₫, 15%, 115.000 ₫, 
Hatomugi, Kem Chống Nắng Hatomugi Dưỡng Ẩm & Làm Sáng Da 80g, 114.000 ₫, 43%, 199.000 ₫, 
Bioderma, Dầu Tắm Bioderma Làm Sạch & Làm Dịu Da Khô, 472.000 ₫, 10%, 525.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Dưỡng Sáng Da 5% Niacinamide 250ml, 230.000 ₫, 15%, 270.000 ₫, 
Secret, Gel Khử Mùi Secret Giảm Tiết Mồ Hôi Completely Clean 73g, 99.000 ₫, 21%, 125.000 ₫, 
VACOSI, Bông Tắm Vacosi BP21, 33.000 ₫, 17%, 40.000 ₫, 
Vaseline, Combo 2 Sữa Dưỡng Thể Vaseline Chống Nắng & Sáng Da 350mlx2, 207.000 ₫, 28%, 286.000 ₫, 
Dove, Sữa Tắm Dưỡng Thể Dove Da Ẩm Mịn Lưu Hương Ngọt Ngào 500g, 117.000 ₫, 18%, 142.500 ₫, 
Deonatulle, Lăn Khử Mùi Deonatulle Đá Khoáng Xanh Sáng Da 20g, 244.000 ₫, 21%, 310.000 ₫, 
CeraVe, Combo CeraVe Sữa Rửa Mặt Cho Da Dầu 473ml + Sữa Dưỡng Thể Cho Da Khô 20ml, 379.000 ₫, 10%, 421.000 ₫, 
