NSX, Description, New Price, Discount percent, Old Price, 
Rosette, Tẩy Tế Bào Chết Rosette Cho Mọi Loại Da 180g, 117.000 ₫, 33%, 175.000 ₫, 
Naruko, Hộp 8 Miếng Mặt Nạ Naruko Tràm Trà Kiềm Dầu Giảm Mụn 26ml/M, 189.000 ₫, 37%, 299.000 ₫, 
Anessa, Gel Chống Nắng Anessa Dưỡng Sáng Nâng Tông 90g, 355.000 ₫, 38%, 575.000 ₫, 
L'Oreal, Kem Dưỡng L'Oreal Paris Sáng Mịn Mờ Thâm Nám Ban Đêm 50ml, 259.000 ₫, 21%, 329.000 ₫, 
Some By Mi, Nước Hoa Hồng Some By Mi AHA-BHA-PHA Cho Da Mụn 150ml, 263.000 ₫, 35%, 405.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml+180g, 214.000 ₫, 49%, 420.000 ₫, 
Eucerin, Gel Rửa Mặt Eucerin Cho Da Nhờn Mụn 400ml, 396.000 ₫, 25%, 529.000 ₫, 
Dr.G, Kem Chống Nắng Dr.G Dưỡng Sáng Da 50ml, 371.000 ₫, 30%, 530.000 ₫, 
Obagi, Kem Dưỡng Obagi Retinol 1.0% Trẻ Hóa Da, 1.486.000 ₫, 15%, 1.750.000 ₫, 
Klairs, Kem Dưỡng Ẩm Klairs Cho Da Khô, 333.000 ₫, 35%, 512.000 ₫, 
Dove, Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml, 65.000 ₫, 33%, 97.000 ₫, 
Bioderma, Kem Dưỡng Ẩm Bioderma Dành Cho Da Mụn, 350.000 ₫, 18%, 425.000 ₫, 
Cocoon, Combo 2 Kem Chống Nắng Cocoon Bí Đao Quang Phổ Rộng 50ml, 629.000 ₫, 20%, 790.000 ₫, 
Fino, Kem Ủ Tóc Fino Premium Touch Cải Thiện Tóc Hư Tổn 230g, 140.000 ₫, 33%, 209.000 ₫, 
Klairs, Nước Hoa Hồng Klairs Dành Cho Da Nhạy Cảm 180ml, 266.000 ₫, 35%, 409.000 ₫, 
SVR, Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 55ml, 111.000 ₫, 21%, 140.000 ₫, 
Blackmores, Viên Uống Blackmores Tinh Dầu Hoa Anh Thảo 190 Viên, 729.000 ₫, 26%, 986.944 ₫, 
Sunplay, Sữa Chống Nắng Sunplay Skin Aqua Dưỡng Da Sáng Mịn 25g, 101.000 ₫, 15%, 119.000 ₫, 
Obagi, Kem Dưỡng Obagi Clinical Giúp Phục Hồi, 1.402.000 ₫, 15%, 1.650.000 ₫, 
OGX, Dầu Gội OGX Biotin & Collagen Làm Dày Tóc 385ml, 192.000 ₫, 35%, 295.000 ₫, 
Silcot, Bông Tẩy Trang Silcot Cơ Bản Hộp 82 Miếng, 32.000 ₫, 27%, 44.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Nghệ Collagen 50mlx10, 416.000 ₫, 22%, 530.000 ₫, 
Klairs, Serum Klairs Cấp Ẩm Cho Da Khô, 286.000 ₫, 35%, 440.000 ₫, 
Browit, Chuốt Mi Browit Kéo Dài Và Cong Mi Dạng Đầu Lược 5.5g, 99.000 ₫, 34%, 149.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 3g, 61.000 ₫, 45%, 110.000 ₫, 
Vichy, Serum Vichy Khoáng Phục Hồi Chuyên Sâu 30ml, 552.000 ₫, 20%, 690.000 ₫, 
Cocoon, Gel Rửa Mặt Cocoon Bí Đao Giúp Giảm Dầu & Mụn 310ml, 236.000 ₫, 20%, 295.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Gluta-Hya Nâng Tông Tức Thì 300ml, 134.000 ₫, 31%, 195.000 ₫, 
Melano CC, Serum Melano CC Dưỡng Sáng Da, 240.000 ₫, 25%, 320.000 ₫, 
Cetaphil, Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 250ml (Mới), 229.000 ₫, 18%, 280.000 ₫, 
Embryolisse, Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 30ml, 229.000 ₫, 37%, 366.000 ₫, 
Nivea, Sữa Dưỡng Thể Nivea Sáng Da Ban Đêm Từ 8 Super Food 350ml, 99.000 ₫, 29%, 139.000 ₫, 
BNBG, Combo BNBG Trọn Bộ 10 Mặt Nạ Dưỡng Da Cao Cấp, 179.000 ₫, 1%, 180.000 ₫, 
Rosette, Tẩy Tế Bào Chết Rosette Cho Mọi Loại Da 120g, 88.000 ₫, 48%, 170.000 ₫, 
DHC, Viên Uống DHC Rau Củ Quả Tổng Hợp Premium 120 Viên 30 Ngày, 209.000 ₫, 21%, 265.000 ₫, 
