NSX, Description, New Price, Discount percent, Old Price, 
ola, Bông Tẩy Trang Ola Cao Cấp 120 Miếng + 30 Miếng, 26.000 ₫, 42%, 45.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A01 Strawberry Red - Đỏ Dâu 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
Gogo Tales, Bảng Phấn Mắt Gogo Tales Màu 201 Rose Yam Purple 25 Ô, 164.000 ₫, 18%, 199.000 ₫, 
Glamrr Q, Siêu Phấn Nước Glamrr Q Che Phủ 01 Màu Sáng 15g, 364.000 ₫, 44%, 650.000 ₫, 
Hotosu, Combo 2 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 50.000 ₫, 29%, 70.000 ₫, 
Hotosu, Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 25.000 ₫, 29%, 35.000 ₫, 
DHC, Son Dưỡng Môi DHC Không Màu Hỗ Trợ Giảm Thâm Môi 1.5g, 159.000 ₫, 20%, 199.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g, 619.000 ₫, 2%, 630.000 ₫, 
Ipek Klasik, Combo 4 Bông Tẩy Trang Ipek 150 Miếng, 111.000 ₫, 44%, 200.000 ₫, 
Vaseline, Sáp Dưỡng Môi Vaseline Hồng Xinh 7g, 55.000 ₫, 33%, 82.000 ₫, 
innisfree, Phấn Phủ innisfree Kiềm Dầu Dạng Bột Khoáng 5g (Mới 2023), 121.000 ₫, 33%, 180.000 ₫, 
Mihoo, Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng, 47.000 ₫, 15%, 55.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A12 Dashed Brown Nâu Gạch 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
Silcot, Combo 3 Bông Tẩy Trang Silcot Cơ Bản 82 Miếng/Hộp, 100.000 ₫, 15%, 117.000 ₫, 
Hotosu, Combo 5 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng, 125.000 ₫, 29%, 175.000 ₫, 
Ipek Klasik, Bông Tẩy Trang Ipek 150 Miếng, 27.000 ₫, 37%, 43.000 ₫, 
Silcot, Bông Tẩy Trang Silcot Cơ Bản Hộp 82 Miếng, 32.000 ₫, 27%, 44.000 ₫, 
Browit, Chuốt Mi Browit Kéo Dài Và Cong Mi Dạng Đầu Lược 5.5g, 99.000 ₫, 34%, 149.000 ₫, 
Espoir, Son Dưỡng Có Màu Espoir 03 Cranberry - Đỏ Cam 4.5g, 273.000 ₫, 33%, 405.000 ₫, 
Maybelline, Kem Nền Maybelline 30H Lâu Trôi Che Phủ Cao #110 30ml, 239.000 ₫, 20%, 298.000 ₫, 
Eucerin, Che Khuyết Điểm Eucerin Dành Cho Da Mụn 2g, 441.000 ₫, 10%, 490.000 ₫, 
3CE, Son Thỏi Lì 3CE Vỏ Trong Suốt Red Muse - Đỏ Tươi 3.5g, 304.000 ₫, 20%, 380.000 ₫, 
Maybelline, Phấn Phủ Maybelline Mịn Nhẹ Kiềm Dầu Chống Nắng 6g #120, 149.000 ₫, 16%, 178.000 ₫, 
Mira, Bấm Mi Điện Mira Cao Cấp Màu Ngẫu Nhiên, 69.000 ₫, 30%, 99.000 ₫, 
australis, Kem Lót Australis Cho Da Dầu & Lỗ Chân Lông To 20ml, 256.000 ₫, 20%, 320.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Màng Như Nhung Private - Đỏ Lạnh 4g, 287.000 ₫, 16%, 340.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Như Nhung Going Right - Cam Hồng Đất 4g, 287.000 ₫, 16%, 340.000 ₫, 
Kissme, Bút Kẻ Mắt Nước Kissme Siêu Mượt Không Trôi Màu Đen 0.4ml, 182.000 ₫, 17%, 219.000 ₫, 
Maybelline, Chì Kẻ Mày Maybelline Nâu Tự Nhiên Natural Brown 0.16g, 110.000 ₫, 14%, 128.000 ₫, 
LEMONADE, Chì Kẻ Mày Lemonade 2 Đầu Màu Nâu Xám 2g+2ml, 159.000 ₫, 20%, 199.000 ₫, 
Espoir, Son Tint Espoir Bóng Lì 7 Vampy - Màu Đỏ Rượu 8.5g, 251.000 ₫, 32%, 368.000 ₫, 
B.O.M, Phấn Phủ B.O.M Kiềm Dầu, 293.000 ₫, 20%, 368.000 ₫, 
3CE, Son Thỏi Lì 3CE Vỏ Trong Suốt Focus On Me - Đỏ San Hô 3.5g, 304.000 ₫, 20%, 380.000 ₫, 
Black Rouge, Son Kem Black Rouge MV04 Best Cinnamon - Đỏ Chili Trầm 4g, 188.000 ₫, 41%, 318.000 ₫, 
Pure Paw Paw, Dưỡng Môi Đa Năng Pure Paw Paw Chiết Xuất Đu Đủ 25g, 85.000 ₫, 23%, 110.000 ₫, 
LEMONADE, Kem Che Khuyết Điểm Lemonade Kiềm Dầu A02 Da Trung Bình Sáng 3g, 151.000 ₫, 20%, 189.000 ₫, 
City Color, Xịt Khoá Makeup City Color Kiểm Soát Dầu 75ml, 129.000 ₫, 48%, 250.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #23N 15gx2, 795.000 ₫, 20%, 1.000.000 ₫, 
Silcot, Combo 2 Bông Tẩy Trang Silcot Cao Cấp 66 Miếng/Hộp, 74.000 ₫, 7%, 80.000 ₫, 
Maybelline, Son Bóng Maybelline 62 Irresistible – Da Đất 4.2ml, 229.000 ₫, 23%, 298.000 ₫, 
VACOSI, Chì Mày Vacosi Định Hình Đa Năng 03 Nâu Đen 5ml, 94.000 ₫, 16%, 112.000 ₫, 
